county/sub_county,total,farming,crop_production,livestock_production,aquaculture,fishing,irrigation,maize,sorghum,rice,potatoes,beans,cassava,sweet_potatoes,wheat,green_grams,bananas,cabbages,tomatoes,onions,ground_nuts,millet,watermelons,kales,sugarcane,cotton,exotic_cattle_0dairy,exotic_cattle_0beef,indigenous_cattle,sheep,goats,camels,donkeys,pigs,indigenous_chicken,exotic_chicken_layers,exotic_chicken_broilers,beehives,rabbits,fish_ponds,fish_cages
KENYA,12143913,6354211.0,5555974,4729288,29325,109640,369679,5104967.0,904945.0,50484.0,1170170.0,3600840.0,1050352.0,1134102.0,67720.0,571426.0,2139421.0,490588.0,410224.0,707182.0,480812.0,540353.0,84077.0,1916898.0,654468.0,22920.0,939916,167625,2260439,1299893,1898887,167666.0,500682,110383.0,3337700,194517,79461,201406,124122,22019.0,3361.0
MOMBASA,378422,12497.0,7218,8749,128,1409,958,5681.0,0.0,0.0,0.0,0.0,2849.0,0.0,0.0,0.0,2232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412,191,1024,313,3029,6.0,36,134.0,6142,743,998,68,186,83.0,24.0
CHANGAMWE,46614,618.0,230,476,6,62,36,108.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,10,20,10,95,0.0,1,7.0,350,53,78,1,14,6.0,0.0
JOMVU,53472,2418.0,1168,1810,12,132,209,895.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,23,190,45,568,0.0,11,37.0,1296,157,199,6,30,8.0,3.0
KISAUNI,88202,6257.0,4043,4269,67,492,402,3456.0,0.0,0.0,0.0,0.0,1702.0,0.0,0.0,0.0,1137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202,82,632,161,1614,4.0,8,76.0,3016,280,411,41,79,37.0,11.0
LIKONI,81191,1863.0,1136,1282,21,439,143,863.0,0.0,0.0,0.0,0.0,578.0,0.0,0.0,0.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73,51,127,63,566,0.0,5,7.0,870,124,140,11,33,16.0,7.0
MVITA,38995,309.0,145,209,9,172,32,81.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,8,9,9,36,1.0,4,3.0,121,33,35,2,5,7.0,2.0
NYALI,69948,1032.0,496,703,13,112,136,278.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,17,46,25,150,1.0,7,4.0,489,96,135,7,25,9.0,1.0
KWALE,173176,108074.0,100020,72666,220,4452,2438,93143.0,2784.0,8585.0,1038.0,8619.0,46004.0,10388.0,0.0,20536.0,28831.0,0.0,10008.0,1124.0,5636.0,1290.0,3794.0,10775.0,5089.0,0.0,1453,804,33888,10587,45129,62.0,507,48.0,56196,962,836,573,179,201.0,57.0
KINANGO,16043,13855.0,13032,10293,7,39,165,12556.0,552.0,60.0,87.0,1567.0,4580.0,1841.0,0.0,3132.0,1841.0,0.0,1219.0,163.0,667.0,132.0,429.0,1746.0,322.0,0.0,151,119,5722,2810,7431,5.0,214,1.0,7921,134,62,122,7,7.0,0.0
LUNGALUNGA,37366,29299.0,27513,19583,94,1879,744,25717.0,454.0,5499.0,340.0,1899.0,11279.0,2093.0,0.0,5508.0,8424.0,0.0,3013.0,332.0,717.0,327.0,881.0,3375.0,1143.0,0.0,490,192,10935,3322,12114,15.0,134,29.0,14607,288,186,150,46,89.0,45.0
MATUGA,39231,24689.0,22882,16311,33,478,505,21369.0,342.0,1143.0,233.0,2233.0,15401.0,2846.0,0.0,2180.0,10026.0,0.0,2787.0,214.0,680.0,168.0,577.0,3250.0,1891.0,0.0,307,145,6394,987,9750,10.0,84,3.0,13292,167,156,175,44,30.0,3.0
MSAMBWENI,45466,14959.0,12906,9143,51,1254,590,10731.0,202.0,1811.0,226.0,1073.0,8583.0,1623.0,0.0,2064.0,5864.0,0.0,1951.0,233.0,309.0,155.0,568.0,1337.0,1131.0,0.0,257,184,3432,368,3905,7.0,24,8.0,7129,264,320,53,63,50.0,6.0
SAMBURU,35070,25272.0,23687,17336,35,802,434,22770.0,1234.0,72.0,152.0,1847.0,6161.0,1985.0,0.0,7652.0,2676.0,0.0,1038.0,182.0,3263.0,508.0,1339.0,1067.0,602.0,0.0,248,164,7405,3100,11929,25.0,51,7.0,13247,109,112,73,19,25.0,3.0
KILIFI,298472,161188.0,149334,101983,366,6393,5643,143913.0,2911.0,2847.0,0.0,10319.0,58225.0,9899.0,0.0,30359.0,26712.0,0.0,8854.0,0.0,2570.0,1522.0,4649.0,6982.0,6383.0,0.0,4905,1480,33420,6746,67419,81.0,1234,366.0,72134,1484,1807,611,524,333.0,50.0
CHONYI,11421,10025.0,9838,5153,14,30,68,9703.0,35.0,131.0,0.0,2196.0,6204.0,461.0,0.0,3756.0,3146.0,0.0,276.0,0.0,413.0,41.0,39.0,199.0,233.0,0.0,148,48,798,18,2585,3.0,1,22.0,4051,21,10,1,15,14.0,0.0
GANZE,23258,20578.0,19306,15777,41,158,442,18418.0,1273.0,81.0,0.0,899.0,7781.0,905.0,0.0,5055.0,2651.0,0.0,952.0,0.0,161.0,487.0,1638.0,951.0,379.0,0.0,321,112,7307,2220,11917,26.0,59,3.0,12160,199,54,98,42,38.0,5.0
KALOLENI,36355,22504.0,21295,14519,34,54,254,20458.0,199.0,1343.0,0.0,2051.0,8810.0,2078.0,0.0,2812.0,4047.0,0.0,1237.0,0.0,162.0,109.0,685.0,1448.0,798.0,0.0,514,166,5538,1357,9342,4.0,177,80.0,10405,270,224,114,48,31.0,5.0
