County/Sub County,Total,Farming,Crop Production,Livestock Production,Aquaculture,Fishing,Irrigation,Maize,Sorghum,Rice,Potatoes,Beans,Cassava,Sweet Potatoes,Wheat,Green grams,Bananas,Cabbages,Tomatoes,Onions,Ground Nuts,Millet,Watermelons,Kales,Sugarcane,Cotton,Exotic cattle 0Dairy,Exotic cattle 0Beef,Indigenous cattle,Sheep,Goats,Camels,Donkeys,Pigs,Indigenous Chicken,Exotic Chicken Layers,Exotic Chicken Broilers,Beehives,Rabbits,Fish Ponds,Fish Cages
KENYA,12143913,6354211,5555974,4729288,29325,109640,369679,5104967,904945,50484,1170170,3600840,1050352,1134102,67720,571426,2139421,490588,410224,707182,480812,540353,84077,1916898,654468,22920,939916,167625,2260439,1299893,1898887,167666,500682,110383,3337700,194517,79461,201406,124122,22019,3361
MOMBASA,378422,12497,7218,8749,128,1409,958,5681,,,,,2849,,,,2232,,,,,,,,,,412,191,1024,313,3029,6,36,134,6142,743,998,68,186,83,24
CHANGAMWE,46614,618,230,476,6,62,36,108,,,,,39,,,,65,,,,,,,,,,16,10,20,10,95,0,1,7,350,53,78,1,14,6,0
JOMVU,53472,2418,1168,1810,12,132,209,895,,,,,360,,,,332,,,,,,,,,,60,23,190,45,568,0,11,37,1296,157,199,6,30,8,3
KISAUNI,88202,6257,4043,4269,67,492,402,3456,,,,,1702,,,,1137,,,,,,,,,,202,82,632,161,1614,4,8,76,3016,280,411,41,79,37,11
LIKONI,81191,1863,1136,1282,21,439,143,863,,,,,578,,,,485,,,,,,,,,,73,51,127,63,566,0,5,7,870,124,140,11,33,16,7
MVITA,38995,309,145,209,9,172,32,81,,,,,39,,,,54,,,,,,,,,,16,8,9,9,36,1,4,3,121,33,35,2,5,7,2
NYALI,69948,1032,496,703,13,112,136,278,,,,,131,,,,159,,,,,,,,,,45,17,46,25,150,1,7,4,489,96,135,7,25,9,1
KWALE,173176,108074,100020,72666,220,4452,2438,93143,2784,8585,1038,8619,46004,10388,,20536,28831,,10008,1124,5636,1290,3794,10775,5089,,1453,804,33888,10587,45129,62,507,48,56196,962,836,573,179,201,57
KINANGO,16043,13855,13032,10293,7,39,165,12556,552,60,87,1567,4580,1841,,3132,1841,,1219,163,667,132,429,1746,322,,151,119,5722,2810,7431,5,214,1,7921,134,62,122,7,7,0
LUNGALUNGA,37366,29299,27513,19583,94,1879,744,25717,454,5499,340,1899,11279,2093,,5508,8424,,3013,332,717,327,881,3375,1143,,490,192,10935,3322,12114,15,134,29,14607,288,186,150,46,89,45
MATUGA,39231,24689,22882,16311,33,478,505,21369,342,1143,233,2233,15401,2846,,2180,10026,,2787,214,680,168,577,3250,1891,,307,145,6394,987,9750,10,84,3,13292,167,156,175,44,30,3
MSAMBWENI,45466,14959,12906,9143,51,1254,590,10731,202,1811,226,1073,8583,1623,,2064,5864,,1951,233,309,155,568,1337,1131,,257,184,3432,368,3905,7,24,8,7129,264,320,53,63,50,6
SAMBURU,35070,25272,23687,17336,35,802,434,22770,1234,72,152,1847,6161,1985,,7652,2676,,1038,182,3263,508,1339,1067,602,,248,164,7405,3100,11929,25,51,7,13247,109,112,73,19,25,3
KILIFI,298472,161188,149334,101983,366,6393,5643,143913,2911,2847,,10319,58225,9899,,30359,26712,,8854,,2570,1522,4649,6982,6383,,4905,1480,33420,6746,67419,81,1234,366,72134,1484,1807,611,524,333,50
CHONYI,11421,10025,9838,5153,14,30,68,9703,35,131,,2196,6204,461,,3756,3146,,276,,413,41,39,199,233,,148,48,798,18,2585,3,1,22,4051,21,10,1,15,14,0
GANZE,23258,20578,19306,15777,41,158,442,18418,1273,81,,899,7781,905,,5055,2651,,952,,161,487,1638,951,379,,321,112,7307,2220,11917,26,59,3,12160,199,54,98,42,38,5
KALOLENI,36355,22504,21295,14519,34,54,254,20458,199,1343,,2051,8810,2078,,2812,4047,,1237,,162,109,685,1448,798,,514,166,5538,1357,9342,4,177,80,10405,270,224,114,48,31,5
KAUMA,3479,2867,2738,1939,10,60,54,2621,41,8,,177,748,141,,387,406,,157,,17,7,66,135,108,,37,29,812,60,1499,2,2,3,1342,30,19,3,6,9,2
KILIFI NORTH,39512,18690,17085,12011,30,1021,386,16616,160,79,,593,6199,689,,3212,2029,,1029,,430,138,296,643,628,,1423,259,2960,287,7854,12,28,37,8584,194,362,39,85,29,5
KILIFI SOUTH,53074,15114,13485,8570,72,878,466,12930,126,469,,1041,5838,688,,3373,3440,,870,,376,89,282,544,733,,558,157,1792,177,4938,4,31,60,6215,183,342,38,86,67,8
MAGARINI,33017,25989,24929,15959,75,1884,856,24193,614,245,,1326,5027,722,,5405,1730,,1240,,304,289,593,1072,771,,432,227,6065,767,11620,12,628,10,10013,145,189,160,54,59,14
MALINDI,73547,31072,27424,19363,63,2176,2942,26224,388,184,,1031,10146,1598,,5038,4684,,2502,,605,318,916,1429,1635,,1206,361,5984,1531,13394,13,299,24,12351,315,494,120,140,61,7
RABAI,24809,14349,13234,8692,27,132,175,12750,75,307,,1005,7472,2617,,1321,4579,,591,,102,44,134,561,1098,,266,121,2164,329,4270,5,9,127,7013,127,113,38,48,25,4
TANA RIVER,68242,35094,16723,27046,212,2136,4528,13141,472,1255,,2373,1989,991,,5627,4647,,2521,723,585,,2406,1815,1690,384,1302,283,12012,16725,21545,3333,5329,2,10187,1019,616,1066,38,176,48
TANA DELTA,22791,15128,8697,11305,116,1475,1089,6997,344,766,,1612,1463,518,,3320,1882,,1196,235,428,,1541,682,1008,192,456,116,5662,6412,8142,160,1395,0,5693,437,297,464,22,91,29
TANA NORTH,26886,9397,2803,8021,57,148,1297,2162,92,202,,227,103,119,,525,690,,382,229,44,,468,268,184,161,399,50,2052,5423,7017,2392,2714,1,1718,300,130,424,9,51,15
TANA RIVER,18565,10569,5223,7720,39,513,2142,3982,36,287,,534,423,354,,1782,2075,,943,259,113,,397,865,498,31,447,117,4298,4890,6386,781,1220,1,2776,282,189,178,7,34,4
LAMU,37963,18678,15196,13448,65,3162,1083,13698,818,,,546,4611,996,,5854,4479,,1497,176,2651,585,1637,1184,2201,1574,508,159,3838,1932,8343,17,795,33,10362,385,253,302,62,54,15
LAMU EAST,5090,1831,1279,1202,4,1729,41,1096,68,,,173,480,37,,248,156,,242,17,84,38,365,95,12,10,90,33,363,57,386,0,425,0,670,65,25,18,2,4,1
LAMU WEST,32873,16847,13917,12246,61,1433,1042,12602,750,,,373,4131,959,,5606,4323,,1255,159,2567,547,1272,1089,2189,1564,418,126,3475,1875,7957,17,370,33,9692,320,228,284,60,50,14
TAITA/TAVETA,96429,56920,48382,43462,275,670,10225,44378,3651,488,4906,31229,17159,9080,,14573,17629,2838,6428,2340,2033,1935,2155,11557,7687,,7893,1088,16591,7190,24512,63,1528,148,34560,895,641,1857,1555,262,27
MWATATE,23698,16123,14021,12325,50,75,1020,13494,608,60,938,11112,5335,2624,,3501,4363,657,1191,444,327,330,320,2903,1458,,2634,331,4422,1436,7021,7,480,62,9776,209,135,498,362,49,1
TAITA,15094,12139,11254,9162,89,112,1287,10748,612,54,3333,9332,5686,3883,,1226,6047,1325,1201,758,186,395,351,4358,3809,,3762,473,2684,2216,2989,2,590,29,7372,261,140,440,464,85,6
TAVETA,24115,14591,12053,10851,92,428,7239,9733,1187,339,290,7659,2476,1270,,3170,5472,488,3058,526,262,370,437,2661,1635,,527,134,5155,2367,7211,16,247,28,8803,135,81,414,466,85,12
VOI,33522,14067,11054,11124,44,55,679,10403,1244,35,345,3126,3662,1303,,6676,1747,368,978,612,1258,840,1047,1635,785,,970,150,4330,1171,7291,38,211,29,8609,290,285,505,263,43,8
GARISSA,141394,47645,4406,46154,1981,1411,1817,2590,748,,696,1326,,,,,1902,,1808,1132,,,1727,804,,,1376,608,23444,37684,41468,17624,20630,,5852,1307,832,833,285,,
BALAMBALA,4337,1786,428,1653,144,109,220,250,82,,96,113,,,,,171,,193,180,,,198,88,,,83,66,669,1020,1464,1110,821,0,108,69,63,67,62,0,0
DADAAB,35793,9315,410,9128,313,250,86,260,120,,46,161,,,,,70,,98,88,,,119,38,,,291,124,3217,6968,8064,6508,5072,0,476,240,120,64,48,0,0
FAFI,23671,6556,929,6263,326,263,473,651,123,,134,315,,,,,630,,598,380,,,519,226,,,325,175,2359,4844,5639,3871,3431,0,284,223,138,147,86,0,0
GARISSA,30518,3335,1032,2849,128,99,488,451,31,,91,202,,,,,655,,560,229,,,526,188,,,144,29,1341,1914,2517,1611,1341,0,239,113,22,48,20,0,0
HULUGHO,20254,13731,1147,13478,681,448,341,724,280,,166,338,,,,,197,,177,129,,,205,120,,,170,71,10619,12006,12284,891,5045,0,3774,301,232,362,46,0,0
IJARA,18481,8136,413,8021,311,158,191,244,108,,159,192,,,,,175,,179,124,,,157,143,,,314,131,3825,6950,7194,316,1891,0,908,349,249,141,19,0,0
